1602370825.59,$B,2565.000000, 95.000000,  0.000000,  0.000000
1602370827.99,$B,2580.000000, 95.000000,  0.000000,  0.000000
1602370830.47,$B,2593.000000, 95.000000,  0.000000,  0.000000
1602370832.91,$B,2602.000000, 95.000000,  0.000000,  0.000000
1602370835.41,$B,2615.000000, 95.000000,  0.000000,  0.000000
1602370838.33,$B,2624.000000, 95.000000,  0.000000,  0.000000
1602370840.68,$B,2635.000000, 95.000000,  0.000000,  0.000000
1602370843.53,$B,2643.000000, 95.000000,  0.000000,  0.000000
1602370845.59,$B,2654.000000, 95.000000,  0.000000,  0.000000
1602370848.08,$B,2660.000000, 95.000000,  0.000000,  0.000000
1602370850.65,$B,2670.000000, 95.000000,  0.000000,  0.000000
1602370853.29,$B,2676.000000, 95.000000,  0.000000,  0.000000
1602370855.96,$B,2685.000000, 95.000000,  0.000000,  0.000000
1602370858.31,$B,2690.000000, 95.000000,  0.000000,  0.000000
1602370860.88,$B,2697.000000, 95.000000,  0.000000,  0.000000
1602370863.54,$B,2705.000000, 95.000000,  0.000000,  0.000000
1602370866.4,$B,2709.000000, 95.000000,  0.000000,  0.000000
1602370868.56,$B,2716.000000, 95.000000,  0.000000,  0.000000
1602370871.45,$B,2720.000000, 95.000000,  0.000000,  0.000000
1602370873.99,$B,2726.000000, 95.000000,  0.000000,  0.000000
1602370876.59,$B,2729.000000, 95.000000,  0.000000,  0.000000
1602370879.17,$B,2735.000000, 95.000000,  0.000000,  0.000000
1602370881.28,$B,2738.000000, 95.000000,  0.000000,  0.000000
1602370884.19,$B,2743.000000, 95.000000,  1.000000,  0.000294
1602370886.68,$B,2746.000000, 95.000000,  1.000000,  0.000294
1602370889.38,$B,2751.000000, 96.000000,  1.000000,  0.000294
1602370891.6,$B,2755.000000, 96.000000,  1.000000,  0.000294
1602370894.55,$B,2758.000000, 95.000000,  1.000000,  0.000294
1602370897.02,$B,2761.000000, 96.000000,  1.000000,  0.000294
1602370899.41,$B,2764.000000, 96.000000,  1.000000,  0.000294
1602370901.97,$B,2768.000000, 95.000000,  1.000000,  0.000294
1602370904.58,$B,2770.000000, 96.000000,  1.000000,  0.000294
1602370907.56,$B,2773.000000, 95.000000,  1.000000,  0.000294
1602370910.13,$B,2776.000000, 95.000000,  1.000000,  0.000294
1602370912.61,$B,2778.000000, 96.000000,  1.000000,  0.000294
1602370914.89,$B,2781.000000, 96.000000,  1.000000,  0.000294
1602370917.42,$B,2783.000000, 96.000000,  1.000000,  0.000294
1602370921.7,$B,2786.000000, 96.000000,  1.000000,  0.000294
1602370924.42,$B,2789.000000, 96.000000,  2.000000,  0.000588
1602370926.68,$B,2791.000000, 95.000000,  2.000000,  0.000588
1602370929.18,$B,2793.000000, 96.000000,  2.000000,  0.000588
1602370931.76,$B,2795.000000, 96.000000,  2.000000,  0.000588
1602370934.37,$B,2797.000000, 95.000000,  2.000000,  0.000588
1602370936.73,$B,2799.000000, 95.000000,  2.000000,  0.000588
1602370939.48,$B,2800.000000, 96.000000,  0.000000,  0.000000
1602370941.89,$B,2802.000000, 96.000000,  0.000000,  0.000000
1602370944.73,$B,2804.000000, 95.000000,  0.000000,  0.000000
1602370947.17,$B,2806.000000, 95.000000,  0.000000,  0.000000
1602370949.64,$B,2807.000000, 96.000000,  0.000000,  0.000000
1602370952.54,$B,2809.000000, 95.000000,  0.000000,  0.000000
1602370954.95,$B,2810.000000, 96.000000,  0.000000,  0.000000
1602370957.5,$B,2812.000000, 96.000000,  0.000000,  0.000000
1602370959.87,$B,2813.000000, 96.000000,  1.000000,  0.000294
1602370962.61,$B,2814.000000, 96.000000,  1.000000,  0.000294
1602370965.06,$B,2816.000000, 95.000000,  1.000000,  0.000294
1602370967.37,$B,2817.000000, 95.000000,  1.000000,  0.000294
1602370969.95,$B,2819.000000, 95.000000,  1.000000,  0.000294
1602370972.77,$B,2820.000000, 95.000000,  1.000000,  0.000294
1602370975.06,$B,2821.000000, 95.000000,  1.000000,  0.000294
1602370977.57,$B,2822.000000, 96.000000,  1.000000,  0.000294
1602370980.52,$B,2824.000000, 95.000000,  1.000000,  0.000294
1602370982.71,$B,2824.000000, 96.000000,  1.000000,  0.000294
1602370985.46,$B,2826.000000, 96.000000,  1.000000,  0.000294
1602370987.77,$B,2827.000000, 96.000000,  1.000000,  0.000294
1602370990.3,$B,2829.000000, 95.000000,  1.000000,  0.000294
1602370993.08,$B,2829.000000, 95.000000,  1.000000,  0.000294
1602370995.66,$B,2831.000000, 95.000000,  1.000000,  0.000294
1602370997.95,$B,2832.000000, 95.000000,  2.000000,  0.000588
1602371000.6,$B,2833.000000, 95.000000,  2.000000,  0.000588
1602371003.03,$B,2834.000000, 96.000000,  2.000000,  0.000588
1602371005.58,$B,2835.000000, 96.000000,  2.000000,  0.000588
1602371008.14,$B,2836.000000, 96.000000,  2.000000,  0.000588
1602371010.67,$B,2837.000000, 95.000000,  2.000000,  0.000588
1602371013.22,$B,2838.000000, 96.000000,  2.000000,  0.000588
1602371016.11,$B,2839.000000, 96.000000,  2.000000,  0.000588
1602371018.33,$B,2840.000000, 95.000000,  2.000000,  0.000588
1602371020.88,$B,2841.000000, 96.000000,  2.000000,  0.000588
1602371023.43,$B,2842.000000, 96.000000,  2.000000,  0.000588
1602371025.98,$B,2843.000000, 96.000000,  2.000000,  0.000588
1602371028.65,$B,2844.000000, 96.000000,  2.000000,  0.000588
1602371031.08,$B,2845.000000, 95.000000,  2.000000,  0.000588
1602371033.74,$B,2846.000000, 96.000000,  2.000000,  0.000588
